file,peak,plato,Ra,Rm+Ra,Rm,tau,Cm,Ih,Cell,Stimulation_Type,VC,Rm_scaled,Cm_scaled
2020_02_13_0024,-172.0011902,-33.22375488,58.13913258,300.9894588,242.8503262,1.02444005,5.037332095,-113.2707825,3,control,-70,0.528690252,0.508713544
2020_02_13_0024,-171.5066986,-36.46224976,58.3067605,274.2562532,215.9494927,0.930344343,4.791789704,-118.6331558,3,control,-70,0.394918357,0.473039716
2020_02_13_0025,-184.7859497,-32.26673508,54.11666859,309.9166983,255.8000297,1.058637142,4.796389868,-117.5821838,3,control,-70,0.593086263,0.473708055
2020_02_13_0027,-243.1403046,-18.48822594,41.12851638,540.884779,499.7562626,0.906950593,1.814785848,-25.41435814,4,control,-70,0.463746443,0.83662464
2020_02_13_0027,-243.4658203,-18.66726112,41.07352723,535.6972259,494.6236987,0.86954391,1.757990796,-23.13571358,4,monochromator,-70,0.4537301,0.834074559
2020_02_13_0027,-245.1714172,-20.00053978,40.78778886,499.9865059,459.198717,0.940957665,2.049129561,-21.55219078,4,monochromator,-70,0.384597251,0.847146604
2020_02_13_0027,-245.2527924,-17.94569016,40.77425543,557.2368582,516.4626028,0.975393355,1.888604034,-22.81358337,4,monochromator,-70,0.496349336,0.839939055
2020_02_13_0027,-239.9698639,-19.99918365,41.67189929,500.0204095,458.3485102,0.853910506,1.863015777,-23.09163284,4,monochromator,-70,0.382938049,0.83879015
2020_02_13_0027,-243.5539856,-20.94048119,41.05865882,477.5439452,436.4852864,0.968885124,2.219742919,-20.60614586,4,monochromator,-70,0.340271352,0.854807093
2020_02_13_0027,-240.410675,-18.6028347,41.59549071,537.5524838,495.9569931,0.92605859,1.867215511,-22.65082359,4,monochromator,-70,0.456332061,0.838978717
2020_02_13_0027,-237.8539734,-17.80395317,42.04260226,561.6730118,519.6304096,0.991649687,1.908375009,-22.52197075,4,monochromator,-70,0.5025314,0.840826766
2020_02_13_0027,-244.9611816,-18.94802284,40.82279459,527.7595495,486.936755,0.950396121,1.951785547,-21.51828194,4,monochromator,-70,0.438728813,0.842775886
2020_02_13_0027,-245.7682037,-19.92594147,40.68874593,501.8583446,461.1695987,0.937251091,2.032334945,-21.44368362,4,monochromator,-70,0.388443482,0.84639253
2020_02_13_0027,-245.6257782,-19.24031448,40.71233921,519.7420244,479.0296852,1.023601651,2.136823005,-21.83023834,4,monochromator,-70,0.423297944,0.851084013
2020_02_13_0027,-244.3474426,-15.53887081,40.92533113,643.5474058,602.6220747,0.78890878,1.309126918,-25.30585289,4,monochromator,-70,0.664491969,0.813920704
2020_02_13_0027,-247.8128815,-19.00431061,40.35302742,526.1964091,485.8433817,0.897312343,1.846916881,-21.35213089,4,monochromator,-70,0.436595064,0.838067314
